BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,RESIDENTIAL UNITS,COMMERCIAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT TO NOW,TAX CLASS AT TIME OF SALE,BUILDING CLASS AT TIME OF SALE,SALE PRICE
1,1,09,0,0, -  , -  ,80,2,C6,575000
1,1,09,0,0, -  , -  ,80,2,C6,605000
1,1,09,0,0, -  , -  ,117,2,C6,799000
1,1,09,0,0, -  , -  ,117,2,C6,800000
1,1,09,0,0, -  , -  ,117,2,C6,54993
1,1,09,0,0, -  , -  ,88,2,C6,410000
1,1,09,0,0, -  , -  ,117,2,C6,1475000
1,1,09,0,0, -  , -  ,88,2,C6,335000
1,1,09,0,0, -  , -  ,97,2,C6,490000
1,1,09,0,0, -  , -  ,89,2,C6,750000
1,1,09,0,0, -  , -  ,117,2,C6,780000
1,1,09,0,0, -  , -  ,92,2,C6,2400000
1,1,09,0,0, -  , -  ,107,2,C6,380000
1,1,09,0,0, -  , -  ,116,2,C6,430000
1,1,10,0,0, -  , -  ,97,2,D0,499900
1,1,10,0,0, -  , -  ,77,2,D0,1400000
1,1,10,0,0, -  , -  ,117,2,D4,694000
1,1,11,47,0, -  ,36472,12,2,RR,28000000
1,1,11,0,0, -  , -  , -  ,2,RR,8058923
1,1,11,132,0,33650, -  ,28,2,RR,52625000
1,1,12,1,0, -  , -  , -  ,2,R2,620000
1,1,13,1,0, -  , -  ,97,2,R4,762669
1,1,13,1,0, -  , -  ,97,2,R4,772851
1,1,13,1,0, -  , -  ,97,2,R4,1034880
1,1,13,1,0, -  , -  ,97,2,R4,800000
1,1,13,1,0, -  , -  ,97,2,R4,2295759
1,1,13,1,0, -  , -  , -  ,2,R4,875000
1,1,13,1,0, -  , -  ,3,2,R4,701341
1,1,13,1,0, -  , -  ,3,2,R4,753421
1,1,13,1,0, -  , -  ,3,2,R4,771980
1,1,13,1,0, -  , -  ,3,2,R4,1247356
1,1,13,1,0, -  , -  ,12,2,R4,2150000
1,1,13,1,0, -  , -  , -  ,2,R4,550000
1,1,13,1,0, -  , -  , -  ,2,R4,1085000
1,1,13,1,0, -  , -  ,12,2,R4,910000
1,1,13,1,0, -  , -  ,107,2,R4,910000
1,1,13,1,0, -  , -  ,107,2,R4,730000
1,1,13,1,0, -  , -  ,107,2,R4,725000
1,1,13,1,0, -  , -  ,107,2,R4,1300000
1,1,13,1,0, -  , -  ,107,2,R4,770000
1,1,13,1,0, -  , -  ,9,2,R4,1750000
1,1,13,1,0, -  , -  , -  ,2,R4,1150000
1,1,13,1,0, -  , -  , -  ,2,R4,2085000
1,1,13,1,0, -  , -  ,3,2,R4,1680112
1,1,13,1,0, -  , -  ,3,2,R4,1150000
1,1,13,1,0, -  , -  ,3,2,R4,1308451
1,1,13,1,0, -  , -  ,3,2,R4,1863397
1,1,13,1,0, -  , -  ,3,2,R4,1603743
1,1,13,1,0, -  , -  ,3,2,R4,1781937
1,1,13,1,0, -  , -  ,3,2,R4,1245000
1,1,13,1,0, -  , -  ,3,2,R4,1200000
1,1,13,1,0, -  , -  ,3,2,R4,1900000
1,1,13,1,0, -  , -  ,3,2,R4,1150000
1,1,13,1,0, -  , -  ,3,2,R4,1800000
1,1,13,1,0, -  , -  ,3,2,R4,1318633
1,1,13,1,0, -  , -  ,3,2,R4,1385000
1,1,13,1,0, -  , -  ,3,2,R4,2150000
1,1,13,1,0, -  , -  ,3,2,R4,1236300
1,1,13,1,0, -  , -  ,3,2,R4,1934675
1,1,13,1,0, -  , -  ,3,2,R4,1237000
1,1,13,1,0, -  , -  ,3,2,R4,1461188
1,1,13,1,0, -  , -  ,3,2,R4,1957475
1,1,13,1,0, -  , -  ,3,2,R4,1221900
1,1,13,1,0, -  , -  ,3,2,R4,2250000
1,1,13,1,0, -  , -  ,3,2,R4,1495000
1,1,13,1,0, -  , -  ,3,2,R4,1310000
1,1,13,1,0, -  , -  ,3,2,R4,1934675
1,1,13,1,0, -  , -  ,3,2,R4,1250000
1,1,13,1,0, -  , -  ,3,2,R4,2611811
1,1,13,1,0, -  , -  ,3,2,R4,4159551
1,1,13,1,0, -  , -  ,3,2,R4,1303360
1,1,13,1,0, -  , -  ,3,2,R4,2250000
1,1,13,1,0, -  , -  ,3,2,R4,2392887
1,1,13,1,0, -  , -  ,3,2,R4,1578287
1,1,13,1,0, -  , -  ,3,2,R4,1400093
1,1,13,1,0, -  , -  ,52,2,R4,4552375
1,1,13,1,0, -  , -  ,52,2,R4,750000
1,1,13,1,0, -  , -  ,52,2,R4,2385000
1,1,13,1,0, -  , -  ,4,2,R4,1400093
1,1,13,1,0, -  , -  ,4,2,R4,1478499
1,1,14,3,1,1520,3360,107,2,S3,3300000
1,1,14,4,1,2201,5608,117,2,S4,7215000
1,1,14,5,1,1779,3713,107,2,S5,4750000
1,1,15,1,0, -  , -  ,14,2,R1,805000
1,1,15,1,0, -  , -  ,14,2,R1,735000
1,1,15,1,0, -  , -  ,14,2,R1,810000
1,1,15,1,0, -  , -  ,12,2,R1,3035000
1,1,15,1,0, -  , -  , -  ,2,R1,630000
1,1,15,1,0, -  , -  , -  ,2,R1,680000
1,1,15,1,0, -  , -  ,11,2,R1,995000
1,1,15,1,0, -  , -  , -  ,2,R1,494500
1,1,15,1,0, -  , -  ,10,2,R1,1875000
1,1,16,0,1, -  , -  ,117,2,R8,2700000
1,1,16,0,1, -  , -  ,66,2,R8,1500000
1,1,17,0,0, -  , -  ,117,2,R9,635000
1,1,17,0,0, -  , -  ,117,2,R9,700000
1,1,17,0,0, -  , -  ,117,2,R9,1100000
1,1,17,0,0, -  , -  ,117,2,R9,1900000
1,1,17,0,0, -  , -  ,97,2,R9,485000
1,1,17,0,0, -  , -  ,97,2,R9,1175000
1,1,22,0,1,1218,3586,118,4,K4,3700000
1,1,46,0,0, -  , -  ,12,4,RK,10800000
1,1,46,0,0, -  , -  ,28,4,RK,52625000
1,2,01,1,0,1975,3855,116,1,A9,7425000
1,2,01,1,0,1588,5653,117,1,A4,10
1,2,01,1,0,1588,5653,117,1,A4,10
1,2,01,1,0,1588,5653,117,1,A4,10
1,2,02,2,1,2150,4978,97,1,S2,7750000
1,2,03,3,0,2469,3725,116,1,C0,8300000
1,2,04,1,0, -  , -  ,97,1,R6,2850000
1,2,07,6,1,1463,3762,116,2,C4,16000000
1,2,07,4,0,2057,2890,107,2,C3,5950000
1,2,07,24,0,2307,4500,117,2,C5,7375000
1,2,07,4,0,2057,3042,117,2,C3,8000000
1,2,07,22,2,2581,13056,116,2,C4,14100000
1,2,07,9,0,1566,6330,116,2,C4,1583840
1,2,07,9,0,1566,6330,116,2,C4,416790
1,2,07,9,0,1566,6330,116,2,C4,630370
1,2,07,9,0,2029,8540,97,2,C1,29400000
1,2,07,8,1,2581,7650,97,2,C7,6450000
1,2,07,15,1,2077,6335,116,2,C7,5500000
1,2,07,8,1,1952,5955,97,2,C7,5750000
1,2,07,8,0,2000,4100,107,2,C1,3485000
1,2,08,6,1,2469,19892,3,2,D6,4600000
1,2,08,30,2,10053,78882,3,2,D7,2341975
1,2,09,0,0, -  , -  ,97,2,C6,1835000
1,2,09,0,0, -  , -  ,107,2,C6,700000
1,2,09,0,0, -  , -  ,117,2,C6,1587500
1,2,09,0,0, -  , -  ,117,2,C6,310000
1,2,09,0,0, -  , -  ,117,2,C6,550000
1,2,09,0,0, -  , -  ,117,2,C6,354500
1,2,09,0,0, -  , -  ,167,2,C6,1750000
1,2,09,0,0, -  , -  ,117,2,C6,485000
1,2,09,0,0, -  , -  ,117,2,C6,1425000
1,2,09,0,0, -  , -  ,117,2,C6,705000
1,2,09,0,0, -  , -  ,117,2,C6,2575000
1,2,09,0,0, -  , -  ,112,2,C6,2200000
1,2,09,0,0, -  , -  ,117,2,C6,1525000
1,2,09,0,0, -  , -  ,117,2,C6,1750000
1,2,09,0,0, -  , -  ,107,2,C6,289000
1,2,09,0,0, -  , -  ,107,2,C6,670000
1,2,09,0,0, -  , -  ,107,2,C6,699000
1,2,09,0,0, -  , -  ,107,2,C6,180000
1,2,09,0,0, -  , -  ,117,2,C6,1237500
1,2,09,0,0, -  , -  ,117,2,C6,1300000
1,2,09,0,0, -  , -  ,117,2,C6,592500
1,2,09,0,0, -  , -  ,117,2,C6,311000
1,2,09,0,0, -  , -  ,117,2,C6,770000
1,2,09,0,0, -  , -  ,117,2,C6,560000
1,2,09,0,0, -  , -  ,107,2,C6,2000000
1,2,09,0,0, -  , -  ,97,2,C6,610000
1,2,09,0,0, -  , -  ,107,2,C6,590000
1,2,09,0,0, -  , -  ,107,2,C6,1700000
1,2,09,0,0, -  , -  ,117,2,C6,590000
1,2,09,0,0, -  , -  ,77,2,C6,441975
1,2,09,0,0, -  , -  ,77,2,C6,617777
1,2,09,0,0, -  , -  ,77,2,C6,644000
1,2,09,0,0, -  , -  ,167,2,C6,1100000
1,2,09,0,0, -  , -  ,117,2,C6,367500
1,2,09,24,0,4600,12200,167,2,C6,282000
1,2,09,0,0, -  , -  ,167,2,C6,710000
1,2,09,0,0, -  , -  ,167,2,C6,282000
1,2,09,0,0, -  , -  ,97,2,C6,1280000
1,2,09,0,0, -  , -  ,97,2,C6,455000
1,2,09,0,0, -  , -  ,117,2,C6,455000
1,2,09,0,0, -  , -  ,117,2,C6,685000
1,2,09,0,0, -  , -  ,117,2,C6,550000
1,2,09,0,0, -  , -  ,153,2,C6,622500
1,2,09,0,0, -  , -  ,153,2,C6,1350000
1,2,09,0,0, -  , -  ,117,2,C6,999000
1,2,09,0,0, -  , -  ,92,2,C6,490000
1,2,09,0,0, -  , -  ,92,2,C6,690000
1,2,09,0,0, -  , -  ,92,2,C6,999000
1,2,09,0,0, -  , -  ,92,2,C6,470000
1,2,09,0,0, -  , -  ,92,2,C6,434000
1,2,09,0,0, -  , -  ,107,2,C6,1085000
1,2,09,0,0, -  , -  ,117,2,C6,640000
1,2,09,0,0, -  , -  ,107,2,C6,440000
1,2,09,0,0, -  , -  ,102,2,C6,620000
1,2,09,0,0, -  , -  ,102,2,C6,640000
1,2,09,0,0, -  , -  ,102,2,C6,625000
1,2,09,0,0, -  , -  ,107,2,C6,1080000
1,2,09,0,0, -  , -  ,107,2,C6,659000
1,2,09,0,0, -  , -  ,107,2,C6,500000
1,2,09,0,0, -  , -  ,107,2,C6,460000
1,2,09,0,0, -  , -  ,107,2,C6,480000
1,2,09,0,0, -  , -  ,107,2,C6,2495000
1,2,09,0,0, -  , -  ,107,2,C6,1625000
1,2,09,0,0, -  , -  ,107,2,C6,765000
1,2,09,0,0, -  , -  ,112,2,C6,1775000
1,2,09,0,0, -  , -  ,112,2,C6,730000
1,2,09,0,0, -  , -  ,112,2,C6,2660000
1,2,09,0,0, -  , -  ,97,2,C6,500000
1,2,09,0,0, -  , -  ,97,2,C6,540000
1,2,09,0,0, -  , -  ,100,2,C6,1375000
1,2,09,0,0, -  , -  ,100,2,C6,827500
1,2,09,0,0, -  , -  ,100,2,C6,582500
1,2,09,0,0, -  , -  ,100,2,C6,950000
1,2,09,0,0, -  , -  ,106,2,C6,750000
1,2,09,0,0, -  , -  ,106,2,C6,583000
1,2,09,0,0, -  , -  ,106,2,C6,735000
1,2,09,0,0, -  , -  ,97,2,C6,1500000
1,2,09,0,0, -  , -  ,97,2,C6,880000
1,2,09,0,0, -  , -  ,107,2,C6,2450000
1,2,10,0,0, -  , -  ,14,2,D4,732500
1,2,10,0,0, -  , -  ,14,2,D4,518000
1,2,10,0,0, -  , -  ,14,2,D4,1215000
1,2,10,0,0, -  , -  ,14,2,D4,775000
1,2,10,0,0, -  , -  ,14,2,D4,800000
1,2,10,0,0, -  , -  ,14,2,D4,900000
1,2,10,0,0, -  , -  ,14,2,D4,850000
1,2,10,0,0, -  , -  ,14,2,D4,735000
1,2,10,0,0, -  , -  ,14,2,D4,655000
1,2,10,0,0, -  , -  ,14,2,D4,1080000
1,2,10,0,0, -  , -  ,34,2,D4,790000
1,2,10,0,0, -  , -  ,97,2,D4,639000
1,2,10,0,0, -  , -  ,97,2,D4,875000
1,2,10,0,0, -  , -  ,97,2,D4,452000
1,2,10,0,0, -  , -  ,117,2,D4,932500
1,2,10,0,0, -  , -  ,117,2,D4,980000
1,2,10,0,0, -  , -  ,97,2,D4,701574
1,2,10,0,0, -  , -  ,97,2,D4,1200000
1,2,10,0,0, -  , -  ,117,2,D4,875000
1,2,10,0,0, -  , -  ,117,2,D4,979000
1,2,10,0,0, -  , -  ,115,2,D0,1350000
1,2,10,0,0, -  , -  ,89,2,D4,635000
1,2,10,0,0, -  , -  ,117,2,D4,750000
1,2,10,0,0, -  , -  ,89,2,D4,995000
1,2,10,0,0, -  , -  ,89,2,D4,661862
1,2,10,0,0, -  , -  ,89,2,D4,835000
1,2,10,0,0, -  , -  ,89,2,D4,1017000
1,2,10,0,0, -  , -  ,91,2,D4,1495000
1,2,10,0,0, -  , -  ,54,2,D4,113692
1,2,10,0,0, -  , -  ,54,2,D4,101164
1,2,10,0,0, -  , -  ,54,2,D4,86231
1,2,10,0,0, -  , -  ,54,2,D4,72260
1,2,10,0,0, -  , -  ,54,2,D4,103640
1,2,10,0,0, -  , -  ,54,2,D4,88332
1,2,10,0,0, -  , -  ,54,2,D4,101726
1,2,10,0,0, -  , -  ,54,2,D4,116447
1,2,10,0,0, -  , -  ,54,2,D4,87346
1,2,10,0,0, -  , -  ,54,2,D4,86712
1,2,10,0,0, -  , -  ,54,2,D4,87346
1,2,10,0,0, -  , -  ,54,2,D4,144521
1,2,10,0,0, -  , -  ,54,2,D4,137150
1,2,10,0,0, -  , -  ,57,2,D4,118280
1,2,10,0,0, -  , -  ,57,2,D4,86712
1,2,10,0,0, -  , -  ,57,2,D4,114975
1,2,10,0,0, -  , -  ,57,2,D4,129347
1,2,10,0,0, -  , -  ,57,2,D4,100603
1,2,10,0,0, -  , -  ,57,2,D4,72260
1,2,10,0,0, -  , -  ,57,2,D4,101726
1,2,10,0,0, -  , -  ,57,2,D4,87346
1,2,10,0,0, -  , -  ,54,2,D4,86231
1,2,10,0,0, -  , -  ,87,2,D4,655000
1,2,10,0,0, -  , -  ,87,2,D4,785000
1,2,10,0,0, -  , -  ,87,2,D4,915000
1,2,10,0,0, -  , -  ,87,2,D4,849000
1,2,10,0,0, -  , -  ,87,2,D4,300000
1,2,10,0,0, -  , -  ,87,2,D4,495846
1,2,10,0,0, -  , -  ,87,2,D4,1225000
1,2,10,0,0, -  , -  ,115,2,D4,1115000
1,2,10,0,0, -  , -  ,115,2,D4,1260000
1,2,10,0,0, -  , -  ,115,2,D4,1195000
1,2,10,0,0, -  , -  ,115,2,D4,1075000
1,2,10,0,0, -  , -  ,104,2,D4,267701
1,2,10,0,0, -  , -  ,104,2,D4,284101
1,2,10,0,0, -  , -  ,104,2,D4,207564
1,2,10,0,0, -  , -  ,104,2,D4,289568
1,2,10,0,0, -  , -  ,104,2,D4,218498
1,2,10,0,0, -  , -  ,104,2,D4,207564
1,2,10,0,0, -  , -  ,128,2,D4,500000
1,2,10,0,0, -  , -  ,97,2,D4,670000
1,2,10,0,0, -  , -  ,54,2,D4,530000
1,2,10,0,0, -  , -  ,54,2,D4,460000
1,2,10,0,0, -  , -  ,54,2,D4,605000
1,2,10,0,0, -  , -  ,54,2,D4,677500
1,2,10,0,0, -  , -  ,54,2,D4,425000
1,2,10,0,0, -  , -  ,54,2,D4,590000
1,2,10,0,0, -  , -  ,54,2,D4,475000
1,2,10,0,0, -  , -  ,54,2,D4,469000
1,2,10,0,0, -  , -  ,97,2,D4,880000
1,2,10,0,0, -  , -  ,117,2,D4,2000000
1,2,10,0,0, -  , -  ,77,2,D4,1090000
1,2,10,0,0, -  , -  ,77,2,D4,945000
1,2,10,0,0, -  , -  ,77,2,D4,592500
1,2,10,0,0, -  , -  ,77,2,D4,653000
1,2,10,0,0, -  , -  ,77,2,D4,1250000
1,2,10,0,0, -  , -  ,77,2,D4,1075000
1,2,10,0,0, -  , -  ,77,2,D4,590000
1,2,10,0,0, -  , -  ,77,2,D4,1535000
1,2,10,0,0, -  , -  ,77,2,D4,975000
1,2,10,0,0, -  , -  ,119,2,D0,1950000
1,2,10,0,0, -  , -  ,119,2,D0,3850000
1,2,10,0,0, -  , -  ,78,2,D4,905000
1,2,10,0,0, -  , -  ,78,2,D4,900000
1,2,10,0,0, -  , -  ,78,2,D4,890000
1,2,10,0,0, -  , -  ,78,2,D4,520000
1,2,10,0,0, -  , -  ,78,2,D4,810000
1,2,10,0,0, -  , -  ,91,2,D4,1600000
1,2,10,0,0, -  , -  ,91,2,D4,2495000
1,2,10,0,0, -  , -  ,91,2,D4,3051000
1,2,10,0,0, -  , -  ,54,2,D4,1700000
1,2,10,0,0, -  , -  ,54,2,D4,1650000
1,2,10,0,0, -  , -  ,54,2,D4,867500
1,2,10,0,0, -  , -  ,54,2,D4,737500
1,2,10,0,0, -  , -  ,54,2,D4,540000
1,2,10,0,0, -  , -  ,54,2,D4,1111000
1,2,10,0,0, -  , -  ,54,2,D4,981000
1,2,10,0,0, -  , -  ,54,2,D4,1650000
1,2,10,0,0, -  , -  ,54,2,D4,1950000
1,2,10,0,0, -  , -  ,54,2,D4,1390000
1,2,10,0,0, -  , -  ,54,2,D4,630000
1,2,10,0,0, -  , -  ,54,2,D4,708000
1,2,10,0,0, -  , -  ,54,2,D4,865000
1,2,10,0,0, -  , -  ,54,2,D4,1275000
1,2,10,0,0, -  , -  ,54,2,D4,615000
1,2,10,0,0, -  , -  ,97,2,D0,939000
1,2,10,0,0, -  , -  ,97,2,D0,545000
1,2,10,0,0, -  , -  ,97,2,D0,560000
1,2,10,0,0, -  , -  ,107,2,D4,527500
1,2,10,0,0, -  , -  ,79,2,D0,1970000
1,2,10,0,0, -  , -  ,79,2,D0,1450000
1,2,10,0,0, -  , -  ,79,2,D0,1850000
1,2,10,0,0, -  , -  ,77,2,D0,5000000
1,2,10,0,0, -  , -  ,77,2,D0,1753000
1,2,10,0,0, -  , -  ,90,2,D4,949000
1,2,10,0,0, -  , -  ,117,2,D0,2075000
1,2,10,0,0, -  , -  ,117,2,D0,6000000
1,2,10,0,0, -  , -  ,79,2,D4,615000
1,2,10,0,0, -  , -  ,79,2,D4,675000
1,2,10,0,0, -  , -  ,79,2,D4,615000
1,2,10,0,0, -  , -  ,79,2,D4,818750
1,2,10,0,0, -  , -  ,79,2,D4,445000
1,2,10,0,0, -  , -  ,79,2,D4,550000
1,2,10,0,0, -  , -  ,79,2,D4,950000
1,2,10,0,0, -  , -  ,108,2,D0,2275000
1,2,10,0,0, -  , -  ,67,2,D4,900000
1,2,10,0,0, -  , -  ,67,2,D4,839000
1,2,10,0,0, -  , -  ,67,2,D4,839000
1,2,10,0,0, -  , -  ,108,2,D0,1810000
1,2,10,0,0, -  , -  ,108,2,D0,4815000
1,2,10,0,0, -  , -  ,59,2,D4,433000
1,2,10,0,0, -  , -  ,112,2,D0,1770000
1,2,10,0,0, -  , -  ,112,2,D0,1645000
1,2,10,0,0, -  , -  ,112,2,D0,1700000
1,2,10,0,0, -  , -  ,107,2,D0,2000000
1,2,10,0,0, -  , -  ,113,2,D0,997500
1,2,10,0,0, -  , -  ,113,2,D0,210000
1,2,10,0,0, -  , -  ,110,2,D0,2560000
1,2,10,0,0, -  , -  ,110,2,D0,2650000
1,2,12,1,0, -  , -  ,87,2,R2,1150000
1,2,12,1,0, -  , -  ,87,2,R2,826000
1,2,13,1,0, -  , -  ,10,2,R4,2560000
1,2,13,1,0, -  , -  ,10,2,R4,2815000
1,2,13,1,0, -  , -  ,10,2,R4,3699000
1,2,13,1,0, -  , -  ,10,2,R4,3020000
1,2,13,1,0, -  , -  ,10,2,R4,2600000
1,2,13,1,0, -  , -  ,10,2,R4,7950000
1,2,13,1,0, -  , -  ,4,2,R4,3210237
1,2,13,1,0, -  , -  ,4,2,R4,5875000
1,2,13,1,0, -  , -  ,4,2,R4,44105000
1,2,13,1,0, -  , -  ,4,2,R4,4650000
1,2,13,1,0, -  , -  ,4,2,R4,2685000
1,2,13,1,0, -  , -  ,4,2,R4,15350000
1,2,13,1,0, -  , -  ,4,2,R4,14650000
1,2,13,1,0, -  , -  ,4,2,R4,2760000
1,2,13,1,0, -  , -  ,4,2,R4,2853850
1,2,13,1,0, -  , -  ,4,2,R4,2599287
1,2,13,1,0, -  , -  ,4,2,R4,2760000
1,2,13,1,0, -  , -  ,4,2,R4,6315900
1,2,13,1,0, -  , -  ,4,2,R4,6875937
1,2,13,1,0, -  , -  ,4,2,R4,7950000
1,2,13,1,0, -  , -  ,4,2,R4,5959512
1,2,13,1,0, -  , -  ,4,2,R4,10490725
1,2,13,1,0, -  , -  ,4,2,R4,13435504
1,2,13,1,0, -  , -  ,4,2,R4,10126700
1,2,13,1,0, -  , -  ,4,2,R4,14563725
1,2,13,1,0, -  , -  ,4,2,R4,10948937
1,2,13,1,0, -  , -  ,4,2,R4,15139625
1,2,13,1,0, -  , -  ,4,2,R4,12018100
1,2,13,1,0, -  , -  ,4,2,R4,15887450
1,2,13,1,0, -  , -  ,4,2,R4,11560349
1,2,13,1,0, -  , -  ,4,2,R4,16466145
1,2,13,1,0, -  , -  ,4,2,R4,12829362
1,2,13,1,0, -  , -  ,4,2,R4,16905700
1,2,13,1,0, -  , -  ,4,2,R4,13443650
1,2,13,1,0, -  , -  ,4,2,R4,17809925
1,2,13,1,0, -  , -  ,4,2,R4,13478450
1,2,13,1,0, -  , -  ,4,2,R4,34623250
1,2,13,1,0, -  , -  ,4,2,R4,33605000
1,2,13,1,0, -  , -  , -  ,2,R4,6300000
1,2,13,1,0, -  , -  ,12,2,R4,2800000
1,2,13,1,0, -  , -  ,12,2,R4,799000
1,2,13,1,0, -  , -  ,12,2,R4,1340000
1,2,13,1,0, -  , -  ,12,2,R4,1060000
1,2,13,1,0, -  , -  ,12,2,R4,1035000
1,2,13,1,0, -  , -  ,12,2,R4,1040000
1,2,13,1,0, -  , -  ,12,2,R4,1045000
1,2,13,1,0, -  , -  ,12,2,R4,1025000
1,2,13,1,0, -  , -  ,12,2,R4,740000
1,2,13,1,0, -  , -  ,12,2,R4,1210000
1,2,13,1,0, -  , -  ,12,2,R4,995000
1,2,13,1,0, -  , -  ,12,2,R4,995000
1,2,13,1,0, -  , -  ,12,2,R4,785000
1,2,13,1,0, -  , -  ,12,2,R4,1020000
1,2,13,1,0, -  , -  ,12,2,R4,975000
1,2,13,1,0, -  , -  ,12,2,R4,1650000
1,2,13,1,0, -  , -  ,12,2,R4,1700000
1,2,13,1,0, -  , -  ,12,2,R4,257068
1,2,13,1,0, -  , -  ,12,2,R4,1075000
1,2,13,1,0, -  , -  ,12,2,R4,2900000
1,2,13,1,0, -  , -  ,12,2,R4,2875000
1,2,13,1,0, -  , -  ,12,2,R4,6000000
1,2,13,1,0, -  , -  ,10,2,R4,6500000
1,2,13,1,0, -  , -  ,10,2,R4,4225000
1,2,13,1,0, -  , -  ,10,2,R4,3750000
1,2,13,1,0, -  , -  ,8,2,R4,1199000
1,2,13,1,0, -  , -  ,8,2,R4,1255000
1,2,13,1,0, -  , -  ,8,2,R4,1280000
1,2,13,1,0, -  , -  ,8,2,R4,1300000
1,2,13,1,0, -  , -  ,8,2,R4,1300000
1,2,13,1,0, -  , -  ,8,2,R4,1275000
1,2,13,1,0, -  , -  ,8,2,R4,2900000
1,2,13,1,0, -  , -  ,8,2,R4,2750000
1,2,13,0,0, -  , -  , -  ,2,R4,7165843
1,2,13,0,0, -  , -  , -  ,2,R4,4937073
1,2,13,0,0, -  , -  , -  ,2,R4,6033271
1,2,13,0,0, -  , -  , -  ,2,R4,6198750
1,2,13,0,0, -  , -  , -  ,2,R4,14504000
1,2,13,0,0, -  , -  , -  ,2,R4,4987833
1,2,13,0,0, -  , -  , -  ,2,R4,5191483
1,2,13,0,0, -  , -  , -  ,2,R4,6398500
1,2,13,0,0, -  , -  , -  ,2,R4,9366308
1,2,13,0,0, -  , -  , -  ,2,R4,5070293
1,2,13,0,0, -  , -  , -  ,2,R4,7250000
1,2,13,0,0, -  , -  , -  ,2,R4,10124043
1,2,13,1,0, -  , -  ,11,2,R4,1195000
1,2,13,1,0, -  , -  ,11,2,R4,1500000
1,2,13,1,0, -  , -  ,11,2,R4,2075000
1,2,13,1,0, -  , -  ,11,2,R4,2450000
1,2,13,1,0, -  , -  ,11,2,R4,4700000
1,2,13,1,0, -  , -  ,11,2,R4,4000000
1,2,13,1,0, -  , -  ,11,2,R4,2175000
1,2,13,1,0, -  , -  ,11,2,R4,4500000
1,2,13,1,0, -  , -  ,97,2,R4,1180000
1,2,13,1,0, -  , -  , -  ,2,R4,1050000
1,2,13,1,0, -  , -  , -  ,2,R4,2735000
1,2,13,1,0, -  , -  , -  ,2,R4,3815000
1,2,13,1,0, -  , -  ,10,2,R4,3000000
1,2,13,1,0, -  , -  ,10,2,R4,1575000
1,2,13,1,0, -  , -  ,10,2,R4,2200000
1,2,13,1,0, -  , -  ,9,2,R4,2150000
