Rooms,2ype,Method,Distance,Postcode,Bedroom2,Bathroom,Car,Landsize,CouncilArea,Lattitude,Longtitude,Regionname,Propertycount,Price
1,3,2,2.5,3067,1,1,1,0,Yarra,-37.8055,144.9961,3,4019,470000
2,1,2,2.5,3067,2,1,0,162,Yarra,-37.8016,144.9956,3,4019,1180000
3,1,4,2.5,3067,3,2,1,120,Yarra,-37.8022,144.9954,3,4019,1195000
2,1,2,2.5,3067,2,1,0,182,Yarra,-37.8021,144.9976,3,4019,1012500
2,1,2,2.5,3067,2,1,1,172,Yarra,-37.8086,144.9946,3,4019,1030000
3,2,1,13.5,3042,3,2,1,303,Moonee Valley,-37.718,144.878,7,3464,840000
3,1,5,13.5,3042,3,2,1,0,Moonee Valley,-37.7203,144.8755,7,3464,730000
3,1,4,13.5,3042,3,2,1,0,Moonee Valley,-37.7203,144.8755,7,3464,770000
2,1,2,13.5,3042,2,1,1,272,Moonee Valley,-37.7294,144.888,7,3464,603000
3,2,2,13.5,3042,3,2,2,239,Moonee Valley,-37.7218,144.8837,7,3464,700000
3,1,2,13.5,3042,2,1,1,290,Moonee Valley,-37.7273,144.8744,7,3464,600000
2,3,5,13.5,3042,2,1,1,168,Moonee Valley,-37.7215,144.8864,7,3464,500000
3,1,2,13.5,3042,2,1,1,620,Moonee Valley,-37.7173,144.8872,7,3464,720000
4,1,2,13.5,3042,3,1,2,597,Moonee Valley,-37.7259,144.8792,7,3464,785000
6,1,4,13.5,3042,6,3,2,976,Moonee Valley,-37.7239,144.8735,7,3464,725000
2,2,2,13.5,3042,2,1,1,110,Moonee Valley,-37.7216,144.871,7,3464,450000
2,3,2,13.5,3042,2,1,1,141,Moonee Valley,-37.7298,144.8883,7,3464,515000
2,3,2,13.5,3042,2,1,1,120,Moonee Valley,-37.7234,144.8792,7,3464,530000
3,1,1,13.5,3042,3,1,6,1063,Moonee Valley,-37.7249,144.8728,7,3464,895000
3,1,2,13.5,3042,3,1,1,0,Moonee Valley,-37.7217,144.8783,7,3464,805000
3,3,2,13.5,3042,3,1,1,265,Moonee Valley,-37.7302,144.8855,7,3464,752000
2,3,2,13.5,3042,2,1,1,192,Moonee Valley,-37.7177,144.8787,7,3464,440000
5,1,1,13.5,3042,3,2,2,596,Moonee Valley,-37.7248,144.8699,7,3464,755000
3,2,1,13.5,3042,3,2,2,165,Moonee Valley,-37.727,144.887,7,3464,700000
3,1,2,13.5,3042,3,1,2,971,Moonee Valley,-37.7186,144.876,7,3464,830000
2,3,2,13.5,3042,2,1,1,164,Moonee Valley,-37.7218,144.8863,7,3464,462500
3,1,4,13.5,3042,3,2,2,657,Moonee Valley,-37.7269,144.8742,7,3464,670000
2,1,2,13.5,3042,2,1,1,612,Moonee Valley,-37.7187,144.8765,7,3464,675000
3,1,2,13.5,3042,3,2,5,612,Moonee Valley,-37.7173,144.8796,7,3464,1042000
3,1,2,13.5,3042,3,1,1,775,Moonee Valley,-37.7231,144.8835,7,3464,910000
4,1,2,13.5,3042,5,3,4,531,Moonee Valley,-37.7263,144.8679,7,3464,773000
3,1,1,13.5,3042,3,3,2,555,Moonee Valley,-37.7285,144.8694,7,3464,810000
3,1,2,13.5,3042,3,2,2,422,Moonee Valley,-37.7164,144.8792,7,3464,715000
3,1,2,13.5,3042,3,1,3,614,Moonee Valley,-37.7194,144.8827,7,3464,790000
3,2,4,13.5,3042,2,2,1,161,Moonee Valley,-37.7231,144.8802,7,3464,540000
3,2,4,13.5,3042,3,2,1,293,Moonee Valley,-37.72,144.8776,7,3464,825000
3,1,2,13.5,3042,3,1,1,579,Moonee Valley,-37.7226,144.8733,7,3464,685000
3,1,2,13.5,3042,3,1,1,623,Moonee Valley,-37.7184,144.882,7,3464,805000
2,3,2,13.5,3042,2,1,1,141,Moonee Valley,-37.7202,144.8797,7,3464,510000
3,1,2,13.5,3042,3,2,1,212,Moonee Valley,-37.7181,144.8824,7,3464,612000
3,1,2,13.5,3042,3,1,2,612,Moonee Valley,-37.7169,144.8815,7,3464,662000
4,1,2,13.5,3042,4,3,2,532,Moonee Valley,-37.7263,144.869,7,3464,978000
3,1,1,13.5,3042,3,1,1,585,Moonee Valley,-37.72,144.878,7,3464,720000
4,1,2,13.5,3042,4,1,2,509,Moonee Valley,-37.7261,144.8785,7,3464,765000
4,1,2,13.5,3042,4,2,3,628,Moonee Valley,-37.7256,144.8739,7,3464,900000
2,1,2,3.3,3206,2,1,0,120,Port Phillip,-37.8459,144.9555,6,3280,1275000
2,1,2,3.3,3206,2,1,0,159,Port Phillip,-37.845,144.9538,6,3280,1455000
3,1,1,3.3,3206,3,2,0,211,Port Phillip,-37.8481,144.9499,6,3280,2850000
3,1,2,3.3,3206,3,2,0,128,Port Phillip,-37.8452,144.9488,6,3280,1850000
2,1,2,3.3,3206,2,1,0,130,Port Phillip,-37.8431,144.9565,6,3280,1436000
2,1,2,3.3,3206,1,1,0,147,Port Phillip,-37.8444,144.9484,6,3280,1110000
2,1,2,3.3,3206,2,1,1,167,Port Phillip,-37.8405,144.9521,6,3280,1550000
4,1,2,3.3,3206,4,2,1,153,Port Phillip,-37.8447,144.9523,6,3280,2300000
3,2,5,3.3,3206,3,2,2,718,Port Phillip,-37.8443,144.9598,6,3280,1550000
3,1,5,3.3,3206,3,2,1,132,Port Phillip,-37.8415,144.952,6,3280,1800000
2,1,2,3.3,3206,2,1,1,199,Port Phillip,-37.8422,144.9554,6,3280,2120000
3,1,5,3.3,3206,3,1,1,253,Port Phillip,-37.8443,144.9579,6,3280,1800000
3,1,2,3.3,3206,3,2,1,90,Port Phillip,-37.8421,144.9571,6,3280,1800000
2,1,1,3.3,3206,2,1,0,240,Port Phillip,-37.8379,144.9539,6,3280,1810000
3,1,2,3.3,3206,3,2,1,177,Port Phillip,-37.8415,144.9585,6,3280,2615000
5,1,2,3.3,3206,5,2,1,237,Port Phillip,-37.8436,144.9557,6,3280,2100000
3,1,2,3.3,3206,3,1,0,129,Port Phillip,-37.8422,144.949,6,3280,1300000
3,1,2,3.3,3206,3,2,2,0,Port Phillip,-37.8451,144.9511,6,3280,1370000
2,1,2,3.3,3206,2,1,0,288,Port Phillip,-37.8407,144.9523,6,3280,1000000
3,1,2,3.3,3206,3,2,1,228,Port Phillip,-37.8445,144.9501,6,3280,2575000
2,1,2,3.3,3206,2,1,0,149,Port Phillip,-37.8443,144.9481,6,3280,1322500
2,1,2,3.3,3206,2,1,0,141,Port Phillip,-37.8424,144.9562,6,3280,1562500
3,1,5,3.3,3206,3,2,1,211,Port Phillip,-37.847,144.9575,6,3280,2000000
3,1,2,3.3,3206,3,1,0,209,Port Phillip,-37.8468,144.9546,6,3280,1900000
3,1,2,3.3,3206,3,2,0,147,Port Phillip,-37.8473,144.9551,6,3280,3010000
4,1,5,3.3,3206,4,3,1,327,Port Phillip,-37.8467,144.9475,6,3280,2800000
2,3,2,3.3,3206,2,1,1,0,Port Phillip,-37.846,144.9542,6,3280,647000
3,1,4,3.3,3206,2,1,1,120,Port Phillip,-37.8427,144.9546,6,3280,2100000
3,1,1,3.3,3206,3,1,1,238,Port Phillip,-37.8461,144.9528,6,3280,2000000
1,3,2,3.3,3206,1,1,0,0,Port Phillip,-37.8421,144.9517,6,3280,442500
4,1,2,3.3,3206,4,2,1,330,Port Phillip,-37.8477,144.9558,6,3280,4735000
2,1,2,3.3,3206,2,1,0,136,Port Phillip,-37.846,144.9517,6,3280,1340000
3,1,2,3.3,3206,3,1,1,202,Port Phillip,-37.8429,144.9493,6,3280,1801000
3,1,2,3.3,3206,3,3,1,0,Port Phillip,-37.8415,144.9585,6,3280,1532000
3,1,2,3.3,3206,3,2,2,325,Port Phillip,-37.8413,144.95,6,3280,3755000
4,1,2,3.3,3206,3,2,1,183,Port Phillip,-37.8434,144.9495,6,3280,2140000
2,1,2,3.3,3206,2,1,1,162,Port Phillip,-37.8416,144.9488,6,3280,1750000
2,1,2,3.3,3206,2,1,0,79,Port Phillip,-37.8387,144.9519,6,3280,980000
3,1,2,3.3,3206,3,2,0,152,Port Phillip,-37.8488,144.9551,6,3280,2030000
3,1,1,3.3,3206,3,2,2,147,Port Phillip,-37.8448,144.9453,6,3280,1740000
3,1,5,3.3,3206,3,3,1,0,Port Phillip,-37.8399,144.9577,6,3280,2800000
1,1,2,3.3,3206,1,1,0,81,Port Phillip,-37.8411,144.9497,6,3280,985000
4,1,2,6.4,3078,3,2,4,853,Darebin,-37.7707,145.0318,3,2211,2000000
3,1,2,6.4,3078,3,2,2,208,Yarra,-37.7854,145.0325,3,2211,1110000
3,1,2,6.4,3078,3,2,2,411,Darebin,-37.7713,145.0279,3,2211,1492000
4,1,2,6.4,3078,4,2,1,599,Darebin,-37.7717,145.031,3,2211,1717500
5,1,2,6.4,3078,5,4,4,809,Darebin,-37.775,145.0268,3,2211,2840000
2,3,2,6.4,3078,2,1,1,88,Darebin,-37.7791,145.0306,3,2211,525500
2,2,2,6.4,3078,2,2,3,155,Darebin,-37.7804,145.0308,3,2211,805000
2,3,2,6.4,3078,2,1,1,0,Darebin,-37.7773,145.0314,3,2211,465000
3,1,1,6.4,3078,3,3,2,686,Darebin,-37.78,145.0341,3,2211,2000000
3,1,2,6.4,3078,3,1,2,592,Darebin,-37.7755,145.0288,3,2211,1540000
2,3,2,6.4,3078,2,1,1,183,Darebin,-37.7747,145.0264,3,2211,820000
4,1,2,6.4,3078,4,2,2,606,Darebin,-37.7743,145.0316,3,2211,1830000
4,1,2,6.4,3078,4,2,2,575,Darebin,-37.7723,145.0319,3,2211,2100000
3,1,4,6.4,3078,3,1,1,180,Darebin,-37.7802,145.0243,3,2211,865000
2,3,5,6.4,3078,2,1,1,0,Darebin,-37.7773,145.0314,3,2211,390000
2,2,4,6.4,3078,0,1,0,0,Yarra,-37.7848,145.025,3,2211,650000
2,3,2,6.4,3078,2,1,1,0,Darebin,-37.7805,145.0262,3,2211,512000
3,1,2,6.4,3078,3,1,2,979,Yarra,-37.7792,145.029,3,2211,1165000
4,1,4,6.4,3078,4,2,2,556,Yarra,-37.7844,145.0225,3,2211,1900000
3,1,4,6.4,3078,3,0,0,597,Darebin,-37.7781,145.0284,3,2211,1485000
4,1,2,6.4,3078,4,2,3,589,Darebin,-37.7719,145.0309,3,2211,1950000
3,1,5,13.8,3018,3,2,1,352,Hobsons Bay,-37.87,144.825,7,5301,520000
5,1,2,13.8,3018,5,3,3,729,Hobsons Bay,-37.8721,144.8105,7,5301,1525000
2,2,2,13.8,3018,2,1,2,292,Hobsons Bay,-37.8687,144.8197,7,5301,720000
3,1,2,13.8,3018,3,1,2,506,Hobsons Bay,-37.8693,144.8375,7,5301,1120000
4,1,1,13.8,3018,4,1,4,655,Hobsons Bay,-37.868,144.8154,7,5301,780000
4,1,4,13.8,3018,4,3,6,1057,Hobsons Bay,-37.8681,144.819,7,5301,1780000
3,3,2,13.8,3018,2,1,2,311,Hobsons Bay,-37.8702,144.8143,7,5301,630000
2,3,4,13.8,3018,2,1,1,65,Hobsons Bay,-37.8693,144.8171,7,5301,406000
3,1,5,13.8,3018,3,1,1,602,Hobsons Bay,-37.8616,144.8116,7,5301,660000
3,1,2,13.8,3018,3,1,1,530,Hobsons Bay,-37.8594,144.817,7,5301,683500
2,3,2,13.8,3018,2,1,1,225,Hobsons Bay,-37.8696,144.827,7,5301,580000
3,1,2,13.8,3018,3,1,4,777,Hobsons Bay,-37.8697,144.8249,7,5301,1335000
3,2,4,13.8,3018,3,2,2,280,Hobsons Bay,-37.8734,144.8143,7,5301,800000
2,3,2,13.8,3018,2,1,1,127,Hobsons Bay,-37.8686,144.8182,7,5301,510000
4,1,2,13.8,3018,4,2,2,695,Hobsons Bay,-37.8733,144.8147,7,5301,1070000
2,3,2,13.8,3018,2,1,2,115,Hobsons Bay,-37.871,144.8185,7,5301,425000
3,3,2,13.8,3018,3,2,2,230,Hobsons Bay,-37.8646,144.827,7,5301,605000
3,2,2,13.8,3018,3,2,2,197,Hobsons Bay,-37.8579,144.8181,7,5301,705000
2,3,4,13.8,3018,2,1,1,0,Hobsons Bay,-37.8678,144.8384,7,5301,391000
2,3,4,13.8,3018,2,1,1,0,Hobsons Bay,-37.8659,144.831,7,5301,440000
4,1,2,13.8,3018,4,1,2,745,Hobsons Bay,-37.8658,144.8155,7,5301,845000
3,2,4,13.8,3018,3,2,2,211,Hobsons Bay,-37.8698,144.816,7,5301,743000
3,3,4,13.8,3018,3,2,1,69,Hobsons Bay,-37.868,144.8286,7,5301,730000
3,1,2,13.8,3018,3,1,4,625,Hobsons Bay,-37.8611,144.8114,7,5301,635000
2,3,4,13.8,3018,2,1,1,168,Hobsons Bay,-37.8676,144.8202,7,5301,620000
2,3,2,13.8,3018,2,1,1,137,Hobsons Bay,-37.8655,144.8299,7,5301,447000
3,3,4,13.8,3018,3,2,1,70,Hobsons Bay,-37.868,144.8287,7,5301,730000
3,1,2,13.8,3018,3,1,2,606,Hobsons Bay,-37.8608,144.8124,7,5301,678000
2,3,1,13.8,3018,2,2,1,175,Hobsons Bay,-37.8687,144.8268,7,5301,580000
3,1,2,13.8,3018,3,1,2,363,Hobsons Bay,-37.8674,144.8375,7,5301,712000
3,1,4,13.8,3018,3,2,2,534,Hobsons Bay,-37.86,144.8245,7,5301,840000
3,1,2,13.8,3018,3,1,2,724,Hobsons Bay,-37.8672,144.817,7,5301,980000
3,2,2,13.8,3018,3,2,0,265,Hobsons Bay,-37.8583,144.8172,7,5301,605100
3,1,1,13.8,3018,3,3,1,577,Hobsons Bay,-37.8699,144.8235,7,5301,880000
3,3,2,13.8,3018,3,2,1,205,Hobsons Bay,-37.8684,144.815,7,5301,577000
4,1,2,13.8,3018,4,1,0,797,Hobsons Bay,-37.8663,144.8387,7,5301,1030000
3,3,2,13.8,3018,3,1,2,181,Hobsons Bay,-37.8659,144.822,7,5301,605000
3,1,2,13.8,3018,3,2,2,529,Hobsons Bay,-37.8612,144.8247,7,5301,753000
2,1,4,13.8,3018,2,2,1,675,Hobsons Bay,-37.8653,144.8129,7,5301,857000
3,1,2,13.8,3018,3,1,1,929,Hobsons Bay,-37.8651,144.832,7,5301,1500000
3,3,4,13.8,3018,3,2,1,70,Hobsons Bay,-37.868,144.8285,7,5301,730000
3,1,2,13.8,3018,3,1,4,697,Hobsons Bay,-37.871,144.8075,7,5301,900000
3,1,2,13.8,3018,3,1,2,604,Hobsons Bay,-37.8631,144.8195,7,5301,740000
4,1,2,13.8,3018,4,2,3,532,Hobsons Bay,-37.8637,144.8365,7,5301,931000
2,1,4,13.8,3018,2,1,1,154,Hobsons Bay,-37.8646,144.8272,7,5301,535600
5,1,2,11.1,3025,5,3,6,592,Hobsons Bay,-37.8388,144.8567,7,5132,1085000
3,1,2,11.1,3025,3,1,2,533,Hobsons Bay,-37.8291,144.835,7,5132,781000
3,1,4,11.1,3025,3,1,3,554,Hobsons Bay,-37.8449,144.85,7,5132,750000
2,2,2,11.1,3025,2,1,1,77,Hobsons Bay,-37.8351,144.8529,7,5132,421000
3,1,2,11.1,3025,3,1,3,655,Hobsons Bay,-37.8338,144.8562,7,5132,1405000
3,1,2,11.1,3025,3,1,2,534,Hobsons Bay,-37.8284,144.8355,7,5132,683000
3,1,2,11.1,3025,3,1,3,540,Hobsons Bay,-37.8267,144.8368,7,5132,623000
3,1,5,11.1,3025,3,2,1,0,Hobsons Bay,-37.8379,144.8583,7,5132,720000
3,1,2,11.1,3025,3,1,1,328,Hobsons Bay,-37.838,144.8555,7,5132,588000
3,1,1,11.1,3025,3,1,3,540,Hobsons Bay,-37.8294,144.8378,7,5132,710000
4,1,4,11.1,3025,3,1,4,559,Hobsons Bay,-37.8448,144.8529,7,5132,875000
3,1,5,11.1,3025,3,1,3,554,Hobsons Bay,-37.8449,144.85,7,5132,700000
2,2,2,11.1,3025,2,1,1,252,Hobsons Bay,-37.8397,144.8602,7,5132,640000
4,1,4,11.1,3025,4,1,4,558,Hobsons Bay,-37.8451,144.8529,7,5132,650000
3,1,2,11.1,3025,3,2,2,171,Hobsons Bay,-37.8337,144.8554,7,5132,675000
3,1,2,11.1,3025,3,1,2,585,Hobsons Bay,-37.8258,144.8523,7,5132,708000
4,1,4,11.1,3025,4,1,4,851,Hobsons Bay,-37.8345,144.8444,7,5132,965000
3,1,2,11.1,3025,3,1,3,551,Hobsons Bay,-37.8254,144.8514,7,5132,680000
3,1,4,11.1,3025,3,1,3,602,Hobsons Bay,-37.8327,144.8451,7,5132,770000
3,1,2,11.1,3025,3,1,2,740,Hobsons Bay,-37.8269,144.8455,7,5132,923000
4,1,4,11.1,3025,4,2,4,315,Hobsons Bay,-37.8391,144.8467,7,5132,693000
3,1,4,11.1,3025,5,2,2,276,Hobsons Bay,-37.8262,144.8443,7,5132,620000
3,1,2,11.1,3025,3,1,1,531,Hobsons Bay,-37.8277,144.8385,7,5132,728500
3,1,2,11.1,3025,3,2,1,590,Hobsons Bay,-37.8382,144.8649,7,5132,931000
3,1,2,11.1,3025,3,1,4,715,Hobsons Bay,-37.8423,144.8632,7,5132,988000
3,1,2,11.1,3025,3,1,2,561,Hobsons Bay,-37.8444,144.8491,7,5132,590000
2,1,2,11.1,3025,2,1,2,691,Hobsons Bay,-37.834,144.8553,7,5132,610000
3,1,2,11.1,3025,3,2,3,555,Hobsons Bay,-37.8318,144.8388,7,5132,815000
4,1,2,11.1,3025,4,1,2,708,Hobsons Bay,-37.833,144.8494,7,5132,970000
4,1,2,11.1,3025,4,1,3,668,Hobsons Bay,-37.8262,144.8439,7,5132,760000
4,2,2,11.1,3025,4,3,1,252,Hobsons Bay,-37.8393,144.8568,7,5132,847500
4,1,4,11.1,3025,4,1,4,633,Hobsons Bay,-37.8375,144.8541,7,5132,1200000
3,1,4,11.1,3025,3,1,1,557,Hobsons Bay,-37.8441,144.8505,7,5132,700000
3,1,1,11.1,3025,3,1,1,536,Hobsons Bay,-37.8285,144.8351,7,5132,625000
2,3,2,11.1,3025,2,1,1,153,Hobsons Bay,-37.8332,144.8649,7,5132,292000
2,3,2,6.3,3143,2,1,1,0,Stonnington,-37.8543,145.0262,6,4836,599000
2,3,5,6.3,3143,2,1,0,861,Stonnington,-37.8539,145.0284,6,4836,550000
3,3,2,6.3,3143,3,2,2,0,Stonnington,-37.8552,145.016,6,4836,995000
3,2,2,6.3,3143,3,2,2,101,Stonnington,-37.854,145.0135,6,4836,1205000
3,1,2,6.3,3143,3,2,2,296,Stonnington,-37.8614,145.0274,6,4836,1939000
1,3,2,6.3,3143,1,1,0,0,Stonnington,-37.853,145.0167,6,4836,421500
3,1,2,6.3,3143,3,1,1,217,Stonnington,-37.8592,145.0182,6,4836,1870000
2,3,2,6.3,3143,2,1,2,0,Stonnington,-37.8538,145.0127,6,4836,678000
3,2,4,6.3,3143,3,2,2,0,Stonnington,-37.8537,145.0267,6,4836,1918000
2,3,4,6.3,3143,2,1,1,0,Stonnington,-37.8619,145.0257,6,4836,660000
3,1,2,6.3,3143,3,2,1,205,Stonnington,-37.8574,145.0281,6,4836,2050000
2,3,5,6.3,3143,2,1,2,0,Stonnington,-37.8552,145.016,6,4836,700000
2,3,2,6.3,3143,3,2,2,0,Stonnington,-37.8555,145.0291,6,4836,3625000
4,1,5,6.3,3143,4,2,2,1581,Stonnington,-37.858,145.0111,6,4836,3000000
5,1,1,6.3,3143,8,2,2,693,Stonnington,-37.8638,145.0229,6,4836,1525000
3,3,1,6.3,3143,3,2,1,2113,Stonnington,-37.8543,145.0262,6,4836,735000
2,3,2,6.3,3143,2,1,1,0,Stonnington,-37.8528,145.0268,6,4836,825000
3,2,2,6.3,3143,2,2,2,246,Stonnington,-37.8566,145.0116,6,4836,1586000
2,3,2,6.3,3143,3,1,1,0,Stonnington,-37.8596,145.0198,6,4836,645000
1,1,4,6.3,3143,2,2,1,144,Stonnington,-37.8564,145.0228,6,4836,1435000
1,3,1,6.3,3143,1,1,1,0,Stonnington,-37.8619,145.0185,6,4836,280000
1,3,1,6.3,3143,1,1,1,0,Stonnington,-37.8605,145.0185,6,4836,400000
2,1,2,6.3,3143,2,2,2,0,Stonnington,-37.8537,145.0267,6,4836,1780000
2,3,2,6.3,3143,2,1,1,0,Stonnington,-37.8574,145.0174,6,4836,592500
2,1,2,6.3,3143,2,1,0,249,Stonnington,-37.8543,145.016,6,4836,1210000
4,1,2,6.3,3143,4,2,2,624,Stonnington,-37.8536,145.0173,6,4836,2801000
1,3,2,6.3,3143,1,1,0,881,Stonnington,-37.8614,145.0222,6,4836,390000
3,1,1,6.3,3143,3,2,2,405,Stonnington,-37.8545,145.0145,6,4836,1800000
4,1,1,6.3,3143,4,1,2,495,Stonnington,-37.8613,145.0264,6,4836,2200000
1,3,2,6.3,3143,1,1,1,0,Stonnington,-37.8537,145.0114,6,4836,324000
6,1,2,6.3,3143,5,3,4,1491,Stonnington,-37.8602,145.013,6,4836,5525000
2,1,2,6.3,3143,3,1,2,169,Stonnington,-37.851,145.0161,6,4836,1125000
3,1,2,6.3,3143,3,3,1,301,Stonnington,-37.8511,145.0167,6,4836,2250000
3,1,2,6.3,3143,3,2,0,336,Stonnington,-37.8558,145.015,6,4836,2360000
2,1,5,6.3,3143,2,2,0,207,Stonnington,-37.8571,145.0224,6,4836,1900000
1,3,4,6.3,3143,1,1,1,0,Stonnington,-37.8531,145.0115,6,4836,440000
2,3,1,6.3,3143,2,1,1,0,Stonnington,-37.8646,145.0247,6,4836,490000
3,1,2,6.3,3143,3,2,1,316,Stonnington,-37.8521,145.019,6,4836,2365000
3,1,5,6.3,3143,2,1,2,212,Stonnington,-37.8542,145.0149,6,4836,1300000
3,3,2,6.3,3143,3,2,2,0,Stonnington,-37.8597,145.0104,6,4836,732000
2,3,4,6.3,3143,2,1,1,0,Stonnington,-37.8573,145.0186,6,4836,704000
2,3,5,6.3,3143,3,1,1,0,Stonnington,-37.8596,145.0198,6,4836,620000
3,1,2,6.3,3143,3,1,2,328,Stonnington,-37.8559,145.0158,6,4836,1900000
1,3,4,6.3,3143,1,1,1,0,Stonnington,-37.8575,145.0174,6,4836,315000
1,3,1,6.3,3143,1,1,1,0,Stonnington,-37.8509,145.0203,6,4836,450000
2,3,2,6.3,3143,2,1,1,2471,Stonnington,-37.8573,145.0186,6,4836,710000
2,3,2,6.3,3143,2,1,1,1194,Stonnington,-37.8604,145.0147,6,4836,872000
2,3,2,6.3,3143,2,1,1,0,Stonnington,-37.8593,145.0156,6,4836,598000
3,1,2,6.3,3143,3,1,2,186,Stonnington,-37.8554,145.0173,6,4836,1285000
4,1,2,6.3,3143,4,3,2,421,Stonnington,-37.8593,145.0275,6,4836,3660000
2,3,2,6.3,3143,1,1,1,0,Stonnington,-37.8618,145.0183,6,4836,520000
4,1,2,6.3,3143,4,1,2,709,Stonnington,-37.8574,145.016,6,4836,3625000
4,1,5,6.3,3143,4,3,3,563,Stonnington,-37.8582,145.0138,6,4836,4200000
3,2,2,6.3,3143,3,1,2,103,Stonnington,-37.8542,145.0135,6,4836,1101000
3,1,2,6.3,3143,3,2,2,617,Stonnington,-37.8557,145.0264,6,4836,3512500
4,1,1,6.3,3143,4,3,4,544,Stonnington,-37.8611,145.0195,6,4836,2000000
3,3,2,6.3,3143,2,1,1,0,Stonnington,-37.853,145.0264,6,4836,869000
5,1,2,6.3,3143,5,2,2,617,Stonnington,-37.8611,145.0271,6,4836,2810000
2,3,2,6.3,3143,3,1,1,0,Stonnington,-37.8573,145.0112,6,4836,565000
1,3,2,6.3,3143,1,1,1,0,Stonnington,-37.8549,145.0113,6,4836,567000
2,3,4,6.3,3143,2,0,0,0,Stonnington,-37.8568,145.0161,6,4836,546000
2,3,2,6.3,3143,2,1,1,0,Stonnington,-37.8503,145.0185,6,4836,471500
2,3,2,5.9,3032,3,1,2,0,Moonee Valley,-37.7756,144.9165,7,6567,455000
3,1,2,5.9,3032,3,1,2,298,Moonee Valley,-37.7777,144.9195,7,6567,940000
2,3,4,5.9,3032,2,1,1,0,Moonee Valley,-37.7761,144.9201,7,6567,467000
3,1,4,5.9,3032,3,2,2,277,Moonee Valley,-37.7777,144.9221,7,6567,1380000
2,3,5,5.9,3032,2,1,1,423,Moonee Valley,-37.7736,144.9015,7,6567,490000
4,1,2,5.9,3032,4,3,1,478,Moonee Valley,-37.7729,144.9179,7,6567,1850000
3,1,2,5.9,3032,3,1,2,623,Moonee Valley,-37.7758,144.9089,7,6567,1284000
3,1,4,5.9,3032,3,2,2,285,Moonee Valley,-37.775,144.9091,7,6567,971000
2,1,1,5.9,3032,2,1,1,214,Moonee Valley,-37.7776,144.9142,7,6567,710000
